Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2016;01:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;12.0;V;
01/01/2016;02:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;11.0;V;
01/01/2016;03:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;9.0;V;
01/01/2016;04:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;10.0;V;
01/01/2016;05:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;8.0;V;
01/01/2016;06:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;10.0;V;
01/01/2016;07:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;13.0;V;
01/01/2016;08:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;13.0;V;
01/01/2016;09:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;14.0;V;
01/01/2016;10:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;15.0;V;
01/01/2016;11:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;14.0;V;
01/01/2016;12:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;11.0;V;
01/01/2016;13:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;13.0;V;
01/01/2016;14:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;10.0;V;
01/01/2016;15:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;8.0;V;
01/01/2016;16:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;3.0;V;
01/01/2016;17:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
01/01/2016;18:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;1.0;V;
01/01/2016;19:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;4.0;V;
01/01/2016;20:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
01/01/2016;21:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
01/01/2016;22:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
01/01/2016;23:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;3.0;V;
01/01/2016;23:59;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
02/01/2016;01:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;4.0;V;
02/01/2016;02:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
02/01/2016;03:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;1.0;V;
02/01/2016;04:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;2.0;V;
02/01/2016;05:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;1.0;V;
02/01/2016;06:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;3.0;V;
02/01/2016;07:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;4.0;V;
02/01/2016;08:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;3.0;V;
02/01/2016;09:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;8.0;V;
02/01/2016;10:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;15.0;V;
02/01/2016;11:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;15.0;V;
02/01/2016;12:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;14.0;V;
02/01/2016;13:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;19.0;V;
02/01/2016;14:00;13;001272;822;Torino - Rubino;21;Monossido di azoto (NO);23;microgrammi / metro cubo;15.0;V;
