Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2012;01:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;106.0;V;
01/01/2012;02:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;88.0;V;
01/01/2012;03:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;88.0;V;
01/01/2012;04:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;80.0;V;
01/01/2012;05:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;75.0;V;
01/01/2012;06:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;74.0;V;
01/01/2012;07:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;59.0;V;
01/01/2012;08:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;48.0;V;
01/01/2012;09:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;53.0;V;
01/01/2012;10:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;69.0;V;
01/01/2012;11:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;86.0;V;
01/01/2012;12:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;79.0;V;
01/01/2012;13:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;86.0;V;
01/01/2012;14:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;80.0;V;
01/01/2012;15:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;76.0;V;
01/01/2012;16:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;66.0;V;
01/01/2012;17:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;73.0;V;
01/01/2012;18:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;84.0;V;
01/01/2012;19:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;92.0;V;
01/01/2012;20:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;97.0;V;
01/01/2012;21:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;86.0;V;
01/01/2012;22:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;71.0;V;
01/01/2012;23:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;63.0;V;
01/01/2012;23:59;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;66.0;V;
02/01/2012;01:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;67.0;V;
02/01/2012;02:00;13;001272;806;Torino - Lingotto;04;Biossido di azoto (NO2);23;microgrammi / metro cubo;66.0;V;
