Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2016;01:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;02:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;03:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;04:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;05:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;06:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;07:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;08:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;09:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;10:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;11:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;12:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;13:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;14:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;15:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;16:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;17:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;18:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
01/01/2016;19:00;13;001272;806;Torino - Lingotto;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;;E;
