Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2017;01:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;187.0;V;
01/01/2017;02:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;279.0;V;
01/01/2017;03:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;256.0;V;
01/01/2017;04:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;300.0;V;
01/01/2017;05:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;263.0;V;
01/01/2017;06:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;269.0;V;
01/01/2017;07:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;250.0;V;
01/01/2017;08:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;196.0;V;
01/01/2017;09:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;201.0;V;
01/01/2017;10:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;187.0;V;
01/01/2017;11:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;293.0;V;
01/01/2017;12:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;354.0;V;
01/01/2017;13:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;336.0;V;
01/01/2017;14:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;215.0;V;
