Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
02/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
03/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
04/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
05/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
06/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
07/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
08/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
09/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
10/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
11/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
12/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
13/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
14/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
15/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
16/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;58.0;V;
17/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;34.0;V;
18/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;47.0;V;
19/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;76.0;V;
20/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;75.0;V;
21/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
22/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;;E;
23/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;56.0;V;
24/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;61.0;V;
25/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;35.0;V;
26/01/2015;23:59;13;001272;819;Torino - Grassi;PM10_GBV;PM10 - Basso Volume;23;microgrammi / metro cubo;66.0;V;
