Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2015;0,0;0,0;0;0;;0,2;6,8;-4,4;81;100;46;;;;;;4,4;
02/01/2015;0,0;0,0;0;0;;2,5;9,7;-3,3;74;100;35;;;;;;4,4;
03/01/2015;0,0;0,0;0;0;;4,2;9,9;0,5;79;100;53;0,3;3,7;600;;;4,1;
04/01/2015;0,0;0,0;0;0;;10,4;19,9;1,3;49;94;26;0,5;8,5;540;;;4,7;
05/01/2015;0,0;0,0;0;0;;4,9;13,7;-0,3;58;84;20;0,1;2,4;1010;;;4,8;
06/01/2015;0,0;0,0;0;0;;2,6;10,5;-1,7;76;100;38;;;;;;5,0;
07/01/2015;0,0;0,0;0;0;;2,8;7,3;-1,6;87;100;68;;;;;;3,3;
08/01/2015;0,0;0,0;0;0;;3,8;9,2;0,2;83;100;57;0,2;2,5;740;;;4,6;
09/01/2015;0,0;0,0;0;0;;3,9;10,0;-0,5;82;100;55;0,3;3,5;510;;;4,3;
10/01/2015;0,0;0,0;0;0;;9,7;23,2;2,0;71;99;19;0,3;7,8;730;;;3,8;
11/01/2015;0,0;0,0;0;0;;8,2;19,0;2,4;58;100;9;0,9;10,4;260;;;5,1;
12/01/2015;0,2;0,2;0;0;;4,9;13,2;-0,6;48;76;22;0,2;3,4;1060;;;5,8;
13/01/2015;0,0;0,0;0;0;;3,8;7,1;-1,1;66;88;50;;;;;;1,6;
14/01/2015;0,0;0,0;0;0;;4,7;11,8;0,4;78;100;48;0,2;3,2;830;;;5,5;
15/01/2015;0,0;0,0;0;0;;4,7;8,7;0,4;85;100;60;0,4;3,4;630;;;2,9;
16/01/2015;0,4;0,0;0;0;;4,9;5,2;4,5;99;100;91;0,3;2,9;700;;;;
17/01/2015;7,6;7,8;0;0;;5,7;9,2;1,2;96;100;79;0,2;2,5;850;;;2,2;
18/01/2015;0,0;0,2;0;0;;2,8;9,9;-0,9;90;100;53;;;;;;5,7;
19/01/2015;0,2;0,2;0;0;;3,3;9,2;-0,5;88;100;57;0,2;2,5;1000;;;4,2;
20/01/2015;0,0;0,0;0;0;;3,8;8,9;-0,3;83;100;55;0,2;2,6;910;;;3,3;
21/01/2015;0,0;0,0;0;0;;1,2;4,6;-1,7;97;100;77;;;;;;1,0;
22/01/2015;9,8;4,2;0;0;;3,4;7,2;0,1;96;100;78;0,3;2,1;620;;;1,8;
23/01/2015;0,0;5,6;0;0;;4,1;12,3;-1,0;81;100;47;;;;;;6,8;
24/01/2015;0,2;0,2;0;0;;4,3;10,9;-1,0;72;100;38;;;;;;5,3;
25/01/2015;0,0;0,0;0;0;;4,7;12,5;-1,1;56;94;22;0,3;3,0;590;;;7,1;
26/01/2015;0,0;0,0;0;0;;1,9;7,5;-2,8;60;81;31;0,2;2,1;910;;;4,1;
27/01/2015;0,0;0,0;0;0;;1,7;9,3;-3,0;67;90;28;;;;;;5,5;
28/01/2015;0,0;0,0;0;0;;1,6;10,6;-3,7;63;94;22;;;;;;7,4;
29/01/2015;0,0;0,0;0;0;;1,7;8,4;-3,2;68;100;36;;;;;;5,4;
30/01/2015;0,0;0,0;2;2;;3,6;10,2;-1,3;60;100;20;;;;;;7,0;
31/01/2015;2,8;2,8;0;0;;1,6;9,5;-3,5;65;92;28;;;;;;7,8;
01/02/2015;0,0;0,0;0;0;;3,8;12,1;-3,3;52;98;17;;;;;;8,8;
02/02/2015;0,0;0,0;0;0;;3,8;11,7;-2,4;38;65;17;0,3;3,7;660;;;8,4;
03/02/2015;0,0;0,0;0;0;;1,1;3,3;-3,0;79;100;52;0,5;4,4;490;;;1,3;
04/02/2015;0,4;0,4;0;0;;3,0;4,8;0,9;91;100;81;0,5;4,3;380;;;2,1;
05/02/2015;18,0;11,4;0;0;;1,4;3,3;0,1;99;100;95;0,2;3,4;980;;;;
06/02/2015;25,8;16,8;10;8;;2,1;3,6;1,3;99;100;94;0,4;3,5;500;;;;
07/02/2015;30,6;44,4;0;8;;2,3;5,3;0,2;95;100;78;0,3;2,6;550;;;2,4;
08/02/2015;0,2;2,0;0;3;;2,2;9,3;-1,3;88;100;60;0,4;3,3;460;;;8,4;
09/02/2015;0,0;0,0;0;0;;3,6;10,4;-2,2;62;93;29;;;;;;10,0;
10/02/2015;0,0;0,0;0;0;;5,1;14,7;-1,1;73;100;39;0,3;2,7;660;;;10,0;
11/02/2015;0,0;0,0;0;0;;4,6;13,6;-1,2;82;100;41;;;;;;9,8;
12/02/2015;0,0;0,0;0;0;;4,1;12,4;-1,0;85;100;48;0,3;3,3;790;;;9,3;
13/02/2015;0,2;0,2;0;0;;4,0;6,1;0,3;91;100;80;0,0;1,6;1270;;;;
14/02/2015;1,0;0,0;0;0;;3,2;4,5;0,2;97;100;91;0,3;2,8;480;;;;
15/02/2015;7,6;5,4;0;0;;2,5;4,0;0,3;97;100;90;0,2;3,3;840;;;1,4;
16/02/2015;22,0;12,6;0;0;;6,2;9,2;4,0;92;100;72;0,3;4,8;800;;;1,5;
17/02/2015;0,8;13,2;0;0;;8,2;14,1;1,9;77;99;42;0,4;3,4;610;;;9,2;
18/02/2015;0,0;0,2;0;0;;5,0;12,3;0,8;85;100;51;0,3;3,0;810;;;7,6;
19/02/2015;0,0;0,0;0;0;;4,3;12,4;-0,9;79;100;38;;;;;;11,4;
20/02/2015;0,0;0,0;0;0;;3,7;12,1;-1,5;84;100;48;;;;;;10,0;
21/02/2015;0,2;0,2;0;0;;2,5;5,4;0,1;98;100;90;0,5;4,4;540;;;1,3;
22/02/2015;14,2;9,4;4;0;;4,4;11,9;0,1;87;100;54;0,4;3,9;800;;;10,3;
23/02/2015;10,6;15,4;0;0;;4,8;11,8;-0,8;81;100;47;;;;;;7,7;
24/02/2015;0,0;0,0;0;0;;5,8;9,5;1,8;78;100;56;0,2;2,8;830;;;3,1;
25/02/2015;0,0;0,0;0;0;;6,8;15,7;0,1;55;93;15;0,3;3,5;810;;;14,4;
26/02/2015;0,0;0,0;0;0;;5,6;14,8;-1,9;60;92;19;;;;;;14,9;
27/02/2015;0,0;0,0;0;0;;6,6;12,5;1,7;65;89;39;0,4;3,6;540;;;8,5;
28/02/2015;0,0;0,0;0;0;;7,4;15,3;1,5;67;94;34;0,2;3,1;820;;;6,2;
01/03/2015;0,0;0,0;0;0;;7,7;15,8;1,4;68;95;36;0,3;4,5;810;;;13,8;
