Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2018;0.2;0.0;3.5;6.7;1.8;96;99;79;1.3;5.5;40;NE;200;4.0;
02/01/2018;0.0;0.2;8.9;15.1;1.9;43;99;10;1.7;10.3;30;NW;220;6.8;
03/01/2018;0.0;0.0;5.9;11.3;3.2;55;65;47;1.5;9.9;70;SW;220;2.3;
04/01/2018;0.0;0.0;8.6;12.0;4.9;64;85;49;1.3;8.6;50;N;200;6.3;
05/01/2018;0.0;0.0;5.1;5.9;4.4;96;100;81;1.2;3.4;10;N;280;;
06/01/2018;0.8;0.8;6.5;7.5;5.0;99;100;95;0.8;3.0;70;SSW;250;0.8;
07/01/2018;11.4;0.8;7.7;8.3;6.9;100;100;99;2.0;7.0;10;NE;640;;
08/01/2018;11.6;19.4;9.3;10.2;8.3;100;100;100;2.4;11.7;0;NE;680;;
09/01/2018;42.6;40.4;8.4;9.4;7.0;100;100;99;1.5;6.7;10;NE;330;1.0;
10/01/2018;5.8;10.8;7.2;8.9;5.3;97;100;87;1.3;4.2;40;SSW;590;3.4;
11/01/2018;0.0;0.0;6.5;11.2;3.5;87;100;58;0.9;3.1;10;SW;250;5.9;
12/01/2018;0.0;0.0;6.1;9.2;4.1;87;99;70;1.1;4.1;20;N;410;3.8;
13/01/2018;0.0;0.0;6.0;10.4;3.1;76;99;51;1.1;4.5;30;SW;340;7.1;
14/01/2018;0.0;0.0;3.1;5.2;0.7;93;100;74;1.1;4.1;0;ENE;510;4.0;
15/01/2018;0.0;0.0;4.5;7.2;1.9;85;99;60;0.9;3.7;0;N;260;3.3;
16/01/2018;0.0;0.0;4.3;7.6;1.8;89;100;64;1.0;4.2;40;NE;250;3.3;
17/01/2018;0.0;0.0;7.1;10.9;1.4;50;99;24;3.1;11.4;10;W;500;4.5;
18/01/2018;0.0;0.0;5.7;9.9;1.4;49;71;24;1.3;6.5;60;NNE;250;7.1;
19/01/2018;0.0;0.0;7.8;16.1;0.8;49;87;17;1.8;9.6;30;W;270;7.8;
20/01/2018;0.0;0.0;6.9;11.1;2.8;48;93;24;1.3;7.3;70;NNE;290;5.2;
21/01/2018;0.4;0.4;7.2;13.9;1.5;71;100;42;1.2;5.6;60;SW;270;7.9;
22/01/2018;0.0;0.0;6.2;9.9;3.6;60;84;34;1.0;5.3;60;ENE;280;5.6;
23/01/2018;0.0;0.0;6.5;13.7;1.5;66;88;38;1.1;3.8;20;SSW;320;7.8;
24/01/2018;0.0;0.0;5.7;9.2;2.5;79;94;61;1.1;4.2;60;SSW;520;6.8;
25/01/2018;0.0;0.0;5.5;8.5;2.7;82;99;62;0.9;2.9;10;NNE;350;4.2;
26/01/2018;0.0;0.0;5.3;6.0;4.6;99;100;93;1.2;4.1;0;N;390;;
27/01/2018;16.0;15.6;7.8;12.6;5.3;90;100;59;1.4;5.6;50;SSW;700;6.0;
28/01/2018;0.0;0.4;7.1;14.3;2.6;87;100;47;0.9;3.0;40;ENE;340;8.6;
29/01/2018;0.0;0.0;6.5;14.5;1.4;87;100;51;1.0;3.8;60;ENE;270;8.6;
30/01/2018;0.0;0.0;6.6;13.6;1.8;90;100;56;1.2;4.9;40;NE;390;8.0;
31/01/2018;0.0;0.0;6.7;9.2;5.0;98;100;84;1.0;3.4;30;E;360;3.3;
01/02/2018;0.0;0.0;6.7;8.6;5.5;92;100;71;1.1;3.6;20;SSW;200;2.1;
02/02/2018;0.0;0.0;6.3;9.7;3.4;73;99;42;1.1;5.0;40;SSW;250;6.1;
03/02/2018;0.0;0.0;5.9;11.4;2.1;59;96;19;1.3;5.1;10;SSW;280;9.5;
04/02/2018;0.0;0.0;4.2;8.0;0.8;64;86;47;1.1;4.4;0;ENE;350;7.5;
05/02/2018;1.8;0.0;2.7;3.8;0.6;96;100;77;1.3;4.1;10;NNE;410;1.1;
06/02/2018;4.2;5.4;2.6;3.5;1.7;99;100;99;1.1;3.3;30;ENE;260;1.3;
07/02/2018;7.4;7.8;5.4;10.4;2.1;88;100;55;1.2;3.8;10;SSW;530;7.4;
08/02/2018;0.0;0.2;6.6;10.9;3.0;81;100;56;1.2;5.0;30;SW;310;7.8;
09/02/2018;0.0;0.0;6.4;9.5;3.9;85;100;66;1.4;7.1;10;NNE;330;7.3;
10/02/2018;16.6;16.6;6.7;11.1;3.4;70;100;37;1.2;4.8;20;SW;320;10.3;
