Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2016;0.0;0.0;0;0;;4.5;6.2;3.3;86;95;74;;;;;;1.2;
02/01/2016;0.0;0.0;0;0;;3.2;4.4;2.4;97;100;84;;;;;;;
03/01/2016;2.4;2.4;0;0;;2.3;3.7;1.6;98;100;91;;;;;;1.1;
04/01/2016;3.0;1.4;0;0;;2.3;3.6;0.9;94;100;85;;;;;;1.5;
05/01/2016;0.0;1.6;0;0;;3.1;4.7;1.4;90;100;80;;;;;;;
06/01/2016;0.0;0.0;0;0;;2.9;8.9;-1.3;85;100;56;;;;;;4.2;
07/01/2016;0.2;0.0;0;0;;2.4;6.7;-1.0;92;100;68;;;;;;2.4;
08/01/2016;0.8;1.0;0;0;;2.4;4.9;-1.1;93;100;81;;;;;;2.2;
09/01/2016;0.0;0.0;0;0;;5.3;8.1;2.1;85;100;70;;;;;;1.4;
10/01/2016;2.0;2.0;0;0;;4.1;7.0;2.2;97;100;85;;;;;;3.4;
11/01/2016;0.0;0.0;0;0;;7.0;10.7;4.7;85;100;40;;;;;;3.2;
12/01/2016;0.2;0.2;0;0;;10.2;15.4;6.0;39;57;21;;;;;;5.4;
13/01/2016;0.0;0.0;0;0;;7.8;13.7;-0.6;29;61;14;;;;;;5.6;
14/01/2016;0.0;0.0;0;0;;2.3;8.8;-1.6;65;97;43;;;;;;4.4;
15/01/2016;0.0;0.0;0;0;;3.3;12.9;-2.4;49;98;9;;;;;;5.7;
16/01/2016;0.0;0.0;0;0;;3.0;10.9;-2.6;36;58;14;;;;;;5.8;
17/01/2016;0.0;0.0;0;0;;2.1;9.3;-2.9;35;55;14;;;;;;5.9;
18/01/2016;0.0;0.0;0;0;;-0.2;5.0;-5.2;43;66;24;;;;;;4.0;
19/01/2016;0.0;0.0;0;0;;-0.4;5.8;-4.4;45;68;23;;;;;;5.0;
20/01/2016;0.0;0.0;0;0;;-1.2;7.5;-6.1;54;79;22;;;;;;5.5;
21/01/2016;0.0;0.0;0;0;;-1.2;6.8;-5.7;66;85;34;;;;;;5.6;
22/01/2016;0.0;0.0;0;0;;0.3;7.6;-4.9;68;88;37;;;;;;5.5;
23/01/2016;0.0;0.0;0;0;;2.0;8.7;-3.3;66;90;38;;;;;;5.9;
24/01/2016;0.0;0.0;0;0;;2.0;10.5;-3.7;73;94;41;;;;;;6.0;
25/01/2016;0.0;0.0;0;0;;3.9;14.5;-2.7;68;92;24;;;;;;6.4;
26/01/2016;0.0;0.0;0;0;;5.6;15.5;-0.7;77;95;44;;;;;;6.5;
27/01/2016;0.0;0.0;0;0;;6.9;15.1;0.6;84;98;54;;;;;;6.5;
28/01/2016;0.0;0.0;0;0;;9.4;16.2;5.6;75;89;49;;;;;;6.0;
29/01/2016;0.0;0.0;0;0;;7.1;14.9;3.1;83;97;51;;;;;;6.2;
30/01/2016;0.0;0.0;0;0;;7.0;14.7;1.6;86;98;52;;;;;;5.4;
31/01/2016;0.0;0.0;0;0;;7.9;14.6;4.5;88;100;57;;;;;;5.6;
01/02/2016;0.0;0.0;0;0;;7.4;16.1;2.0;89;99;55;;;;;;4.5;
02/02/2016;0.2;0.0;0;0;;7.6;10.0;5.8;95;100;85;;;;;;1.7;
03/02/2016;0.0;0.2;0;0;;9.1;14.5;3.7;66;95;19;;;;;;4.9;
04/02/2016;0.0;0.0;0;0;;6.2;15.9;0.7;36;59;12;;;;;;8.5;
05/02/2016;0.0;0.0;0;0;;6.2;15.4;0.1;54;89;26;;;;;;8.3;
06/02/2016;0.0;0.0;0;0;;4.6;8.7;0.0;81;95;62;;;;;;3.8;
07/02/2016;5.4;0.2;0;0;;4.6;5.3;3.5;96;98;92;;;;;;;
08/02/2016;11.6;16.8;0;0;;5.4;13.0;0.6;86;99;53;;;;;;8.3;
09/02/2016;0.0;0.0;0;0;;5.2;7.7;1.6;96;100;75;;;;;;1.0;
10/02/2016;0.2;0.2;0;0;;8.9;13.3;2.6;29;63;17;;;;;;10.5;
11/02/2016;0.0;0.0;0;0;;5.1;13.5;-1.7;47;74;19;;;;;;10.2;
12/02/2016;0.0;0.0;0;0;;2.6;7.4;-1.2;76;96;47;;;;;;3.2;
13/02/2016;1.0;1.0;0;0;;3.3;9.7;-1.3;84;97;52;;;;;;9.2;
14/02/2016;0.0;0.0;0;0;;4.8;8.5;0.2;84;97;71;;;;;;2.7;
15/02/2016;0.0;0.0;0;0;;5.1;11.2;0.0;82;99;46;;;;;;8.6;
16/02/2016;0.4;0.0;0;0;;7.0;8.9;5.3;88;96;79;;;;;;2.3;
17/02/2016;4.0;3.8;0;0;;5.7;6.8;4.6;92;97;85;;;;;;;
18/02/2016;1.4;2.0;0;0;;6.8;11.1;2.9;83;97;59;;;;;;8.1;
19/02/2016;0.0;0.0;0;0;;7.4;16.2;0.9;56;97;21;;;;;;11.5;
