Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Radiazione totale ( MJ/mq );
01/01/2019;0,0;0,0;0;0;;2,5;9,0;-1,2;89;100;62;4,3;
02/01/2019;0,2;0,2;0;0;;2,5;11,3;-1,9;77;100;41;4,9;
03/01/2019;0,0;0,0;0;0;;1,0;10,5;-4,2;62;87;29;4,1;
04/01/2019;;;0;0;;1,0;6,3;-2,3;64;80;30;4,7;
05/01/2019;0,0;0,0;0;0;;2,4;8,5;-2,6;63;84;36;4,9;
06/01/2019;0,0;0,0;0;0;;5,3;15,8;-0,4;63;89;25;5,3;
07/01/2019;0,0;0,0;0;0;;3,9;13,0;0,0;74;96;28;5,3;
08/01/2019;0,0;0,0;0;0;;2,5;6,5;-0,1;83;96;63;4,2;
09/01/2019;0,0;0,0;0;0;;3,7;11,5;-2,4;55;97;13;5,4;
10/01/2019;0,0;0,0;0;0;;4,1;10,1;-0,5;40;61;18;5,9;
11/01/2019;0,0;0,0;0;0;;3,3;8,7;-2,6;43;74;23;6,0;
12/01/2019;0,0;0,0;0;0;;3,5;10,4;-1,6;50;69;22;5,9;
13/01/2019;0,0;0,0;0;0;;5,4;13,2;-0,2;61;79;34;5,6;
14/01/2019;0,0;0,0;0;0;;12,6;17,7;4,3;31;67;12;6,4;
15/01/2019;0,0;0,0;0;0;;6,3;13,7;1,2;44;69;19;6,1;
16/01/2019;0,0;0,0;0;0;;4,0;11,4;-1,1;61;83;32;6,3;
17/01/2019;0,0;0,0;0;0;;4,3;10,3;0,4;77;98;54;5,5;
18/01/2019;0,0;0,0;0;0;;4,1;10,4;-0,5;74;99;29;6,1;
19/01/2019;0,2;0,0;1;1;;3,6;4,4;2,4;80;93;70;1,6;
20/01/2019;0,0;0,2;0;0;;2,2;6,1;-1,2;79;97;58;6,4;
21/01/2019;0,0;0,0;0;0;;1,7;7,9;-2,6;78;99;48;6,6;
22/01/2019;0,0;0,0;0;0;;0,7;7,0;-3,1;78;94;51;6,7;
23/01/2019;;;0;0;;-0,6;0,7;-2,3;90;99;73;2,1;
24/01/2019;;;6;6;;1,9;7,7;-1,4;82;99;42;7,2;
25/01/2019;;3,2;0;0;;1,9;8,8;-2,4;65;97;26;7,5;
26/01/2019;0,2;0,2;0;0;;1,9;8,4;-1,9;64;88;36;6,9;
27/01/2019;0,0;0,0;0;0;;0,4;3,0;-2,2;86;99;65;1,7;
28/01/2019;0,0;0,0;0;0;;4,6;11,9;-1,2;47;99;13;8,3;
29/01/2019;0,0;0,0;0;0;;3,7;9,7;-1,8;46;71;20;7,7;
30/01/2019;0,0;0,0;0;0;;1,7;4,1;-1,2;79;97;65;4,2;
31/01/2019;0,0;0,0;0;0;;0,9;4,7;-2,4;88;99;64;5,5;
01/02/2019;1,8;1,4;3;3;;1,1;2,4;0,1;98;99;90;1,1;
02/02/2019;11,2;11,4;1;3;;1,5;3,5;0,2;96;99;86;1,9;
03/02/2019;15,4;15,4;2;2;;5,3;12,3;2,5;85;99;41;6,0;
04/02/2019;0,0;0,2;0;1;;4,6;10,8;-0,1;69;97;34;9,0;
05/02/2019;0,0;0,0;0;0;;4,0;10,3;-0,5;65;91;36;9,3;
06/02/2019;0,0;0,0;0;0;;4,2;11,0;-1,3;63;92;36;9,4;
07/02/2019;0,0;0,0;0;0;;3,4;8,0;0,0;65;84;45;4,3;
08/02/2019;0,0;0,0;0;0;;4,2;10,2;-1,2;64;90;38;8,5;
09/02/2019;0,0;0,0;0;0;;5,1;10,8;0,2;65;89;39;7,7;
10/02/2019;0,0;0,0;0;0;;5,4;8,2;1,5;78;99;60;4,8;
